# ==============================================================================
# This text file contains our raw results.
#
# Authors:
#   Dustin Kut Moy Cheung
#   Didier Landry
# 
# ==============================================================================

learn 0.01
[ddl@King-George csc2515h]$ python train.py
Loading training data from: ../data/train_32x32.mat
Loading training data done!
Greyscaling filter on the images...
Greyscaling filter done!
(73257, 1024)
(73257, 1)
[0 8 1 ..., 0 5 8]
  InputLayer        	(None, 1024)        	produces    1024 outputs
  DenseLayer        	(None, 100)         	produces     100 outputs
  DenseLayer        	(None, 10)          	produces      10 outputs

 Epoch  |  Train loss  |  Valid loss  |  Train / Val  |  Valid acc  |  Dur
    53  |    0.862092  |    0.909546  |     0.947827  |     72.77%  |  2.0s
    54  |    0.857199  |    0.904635  |     0.947563  |     72.88%  |  2.0s
    55  |    0.852344  |    0.900237  |     0.946799  |     72.98%  |  2.0s
    56  |    0.847570  |    0.897066  |     0.944824  |     73.11%  |  2.0s
    57  |    0.842947  |    0.895674  |     0.941132  |     73.13%  |  2.0s
    58  |    0.838328  |    0.894733  |     0.936959  |     73.16%  |  2.1s
    59  |    0.833835  |    0.888613  |     0.938356  |     73.30%  |  2.0s
    60  |    0.829382  |    0.888599  |     0.933360  |     73.36%  |  2.0s
    61  |    0.825053  |    0.887174  |     0.929978  |     73.41%  |  2.1s
    62  |    0.820805  |    0.884637  |     0.927844  |     73.45%  |  2.1s
    63  |    0.816594  |    0.880879  |     0.927021  |     73.52%  |  2.1s
    64  |    0.812445  |    0.878596  |     0.924708  |     73.60%  |  2.0s
    65  |    0.808451  |    0.872110  |     0.927005  |     73.69%  |  2.0s
    66  |    0.804435  |    0.870280  |     0.924341  |     73.82%  |  2.0s
    67  |    0.800457  |    0.862925  |     0.927609  |     73.98%  |  2.3s
    68  |    0.796548  |    0.864512  |     0.921385  |     73.96%  |  2.1s
    69  |    0.792783  |    0.860997  |     0.920773  |     74.01%  |  2.0s
    70  |    0.789012  |    0.859768  |     0.917703  |     74.04%  |  2.0s
    71  |    0.785279  |    0.855406  |     0.918019  |     74.23%  |  2.0s
    72  |    0.781582  |    0.854331  |     0.914847  |     74.22%  |  2.0s
    73  |    0.778056  |    0.851843  |     0.913379  |     74.37%  |  2.1s
    74  |    0.774580  |    0.851637  |     0.909519  |     74.41%  |  2.0s
    75  |    0.770913  |    0.848857  |     0.908178  |     74.49%  |  2.1s
    76  |    0.767575  |    0.846095  |     0.907198  |     74.58%  |  2.2s
    77  |    0.764239  |    0.845811  |     0.903558  |     74.57%  |  2.0s
    78  |    0.760875  |    0.843314  |     0.902244  |     74.64%  |  2.1s
    79  |    0.757612  |    0.840404  |     0.901485  |     74.79%  |  2.0s
    80  |    0.754333  |    0.836355  |     0.901929  |     74.83%  |  2.0s
    81  |    0.751118  |    0.835856  |     0.898621  |     74.86%  |  2.0s
    82  |    0.747928  |    0.836240  |     0.894393  |     74.83%  |  2.0s
    83  |    0.744924  |    0.835220  |     0.891889  |     74.80%  |  2.0s
    84  |    0.741773  |    0.834705  |     0.888665  |     74.87%  |  2.1s
    85  |    0.738858  |    0.831991  |     0.888059  |     74.96%  |  2.0s
    86  |    0.735820  |    0.828017  |     0.888653  |     75.11%  |  2.0s
    87  |    0.732954  |    0.825968  |     0.887388  |     75.21%  |  2.0s
    88  |    0.730076  |    0.825394  |     0.884518  |     75.20%  |  2.0s
    89  |    0.727120  |    0.822981  |     0.883520  |     75.30%  |  2.0s
    90  |    0.724386  |    0.821430  |     0.881860  |     75.32%  |  2.0s
    91  |    0.721604  |    0.820716  |     0.879237  |     75.38%  |  2.0s
    92  |    0.718944  |    0.818151  |     0.878742  |     75.49%  |  2.0s
    93  |    0.716241  |    0.816740  |     0.876951  |     75.48%  |  2.3s
    94  |    0.713603  |    0.815204  |     0.875367  |     75.50%  |  2.0s
    95  |    0.711030  |    0.811437  |     0.876260  |     75.64%  |  2.0s
    96  |    0.708500  |    0.810730  |     0.873905  |     75.64%  |  2.0s
    97  |    0.705889  |    0.809576  |     0.871925  |     75.74%  |  2.1s
    98  |    0.703483  |    0.811215  |     0.867197  |     75.64%  |  2.0s
    99  |    0.700962  |    0.811538  |     0.863745  |     75.71%  |  2.0s
   100  |    0.698575  |    0.804392  |     0.868451  |     75.87%  |  2.0s

   learn 0.4
  [ddl@King-George csc2515h]$ python train.py
Loading training data from: ../data/train_32x32.mat
Loading training data done!
Greyscaling filter on the images...
Greyscaling filter done!
(73257, 1024)
(73257, 1)
[0 8 1 ..., 0 5 8]
  InputLayer        	(None, 1024)        	produces    1024 outputs
  DenseLayer        	(None, 100)         	produces     100 outputs
  DenseLayer        	(None, 10)          	produces      10 outputs

 Epoch  |  Train loss  |  Valid loss  |  Train / Val  |  Valid acc  |  Dur
--------|--------------|--------------|---------------|-------------|-------
     1  |    2.191669  |    2.097198  |     1.045046  |     25.93%  |  1.8s
     2  |    1.950497  |    1.972587  |     0.988801  |     33.11%  |  1.7s
     3  |    1.667540  |    1.754329  |     0.950529  |     44.32%  |  1.7s
     4  |    1.478555  |    1.648071  |     0.897143  |     48.72%  |  1.7s
     5  |    1.354122  |    1.493601  |     0.906616  |     54.21%  |  1.7s
     6  |    1.271114  |    1.470973  |     0.864131  |     55.11%  |  1.7s
     7  |    1.209754  |    1.387585  |     0.871841  |     58.16%  |  1.7s
     8  |    1.163988  |    1.324232  |     0.878991  |     60.22%  |  1.8s
     9  |    1.124174  |    1.318893  |     0.852361  |     60.71%  |  1.8s
    10  |    1.092497  |    1.353504  |     0.807163  |     60.51%  |  2.0s
    11  |    1.064494  |    1.240054  |     0.858426  |     63.32%  |  2.1s
    12  |    1.041194  |    1.266373  |     0.822186  |     62.91%  |  1.9s
    13  |    1.018764  |    1.235614  |     0.824500  |     63.70%  |  1.9s
    14  |    0.999035  |    1.199853  |     0.832631  |     64.82%  |  2.0s
    15  |    0.982211  |    1.153882  |     0.851223  |     65.96%  |  2.7s
    16  |    0.965331  |    1.161323  |     0.831234  |     65.87%  |  2.0s
    17  |    0.949302  |    1.191205  |     0.796926  |     65.14%  |  1.9s
    18  |    0.935317  |    1.111993  |     0.841117  |     67.18%  |  1.9s
    19  |    0.920947  |    1.136431  |     0.810385  |     66.60%  |  1.9s
    20  |    0.908007  |    1.133735  |     0.800899  |     66.85%  |  1.9s
    21  |    0.897237  |    1.121034  |     0.800366  |     67.27%  |  2.0s
    22  |    0.884953  |    1.112038  |     0.795793  |     67.50%  |  1.9s
    23  |    0.873806  |    1.073376  |     0.814072  |     68.43%  |  2.0s
    24  |    0.864157  |    1.054912  |     0.819175  |     69.06%  |  2.0s
    25  |    0.855639  |    1.073170  |     0.797301  |     68.86%  |  1.9s
    26  |    0.844962  |    1.051924  |     0.803254  |     69.33%  |  2.0s
    27  |    0.835641  |    1.045651  |     0.799158  |     69.47%  |  2.1s
    28  |    0.828027  |    1.060008  |     0.781152  |     69.38%  |  2.0s
    29  |    0.819050  |    1.015853  |     0.806268  |     70.34%  |  1.9s
    30  |    0.811515  |    1.027654  |     0.789678  |     69.95%  |  2.0s
    31  |    0.805243  |    1.032995  |     0.779522  |     70.02%  |  1.9s
    32  |    0.798636  |    1.015786  |     0.786224  |     70.31%  |  2.0s
    33  |    0.791210  |    1.037578  |     0.762555  |     70.19%  |  2.0s
    34  |    0.783688  |    1.034553  |     0.757513  |     69.99%  |  2.0s
    35  |    0.778660  |    1.004557  |     0.775127  |     70.77%  |  2.0s
    36  |    0.773152  |    1.010238  |     0.765316  |     70.58%  |  2.0s
    37  |    0.765834  |    1.008605  |     0.759300  |     70.50%  |  2.1s
    38  |    0.760518  |    0.989304  |     0.768740  |     70.99%  |  2.0s
    39  |    0.755268  |    0.990942  |     0.762171  |     71.06%  |  2.1s
    40  |    0.750414  |    1.000441  |     0.750083  |     70.72%  |  2.0s
    41  |    0.743046  |    1.005148  |     0.739241  |     70.74%  |  2.0s
    42  |    0.739521  |    1.034238  |     0.715040  |     70.06%  |  2.0s
    43  |    0.734571  |    0.975543  |     0.752987  |     71.62%  |  2.3s
    44  |    0.729306  |    1.004444  |     0.726079  |     70.86%  |  2.1s
    45  |    0.725593  |    0.988214  |     0.734246  |     71.15%  |  2.0s
    46  |    0.720180  |    0.995603  |     0.723361  |     71.22%  |  2.0s
    47  |    0.717817  |    1.065809  |     0.673495  |     69.64%  |  2.0s
    48  |    0.712306  |    0.983443  |     0.724299  |     71.35%  |  2.0s
    49  |    0.709069  |    1.009715  |     0.702247  |     71.06%  |  2.0s
    50  |    0.703512  |    0.967927  |     0.726823  |     71.99%  |  2.0s
    51  |    0.699222  |    0.971986  |     0.719375  |     72.09%  |  2.0s
    52  |    0.696329  |    0.930394  |     0.748423  |     72.87%  |  2.1s
    53  |    0.692612  |    0.941561  |     0.735600  |     72.66%  |  2.0s
    54  |    0.689287  |    0.945387  |     0.729106  |     72.47%  |  2.2s
    55  |    0.684794  |    0.937175  |     0.730700  |     73.00%  |  2.0s
    56  |    0.681591  |    0.956389  |     0.712671  |     72.50%  |  2.1s
    57  |    0.679071  |    0.934317  |     0.726810  |     72.94%  |  2.1s
    58  |    0.673773  |    0.926083  |     0.727551  |     73.28%  |  2.1s
    59  |    0.671612  |    0.936689  |     0.717006  |     73.05%  |  2.5s
    60  |    0.667477  |    0.944851  |     0.706437  |     72.86%  |  2.2s
    61  |    0.665530  |    0.941650  |     0.706770  |     73.07%  |  2.4s
    62  |    0.660471  |    0.890380  |     0.741786  |     74.25%  |  2.4s
    63  |    0.658170  |    0.906279  |     0.726233  |     74.01%  |  2.3s
    64  |    0.655389  |    0.902099  |     0.726516  |     74.02%  |  2.0s
    65  |    0.651278  |    0.900509  |     0.723233  |     74.19%  |  2.0s
    66  |    0.647547  |    0.896662  |     0.722175  |     74.30%  |  2.5s
    67  |    0.646724  |    0.930118  |     0.695314  |     73.58%  |  2.1s
    68  |    0.643031  |    0.881579  |     0.729408  |     74.75%  |  2.3s
    69  |    0.639641  |    0.895582  |     0.714219  |     74.59%  |  2.3s
    70  |    0.638240  |    0.874802  |     0.729583  |     75.10%  |  2.0s
    71  |    0.633858  |    0.892502  |     0.710203  |     74.56%  |  2.1s
    72  |    0.632557  |    1.001540  |     0.631584  |     72.15%  |  2.1s
    73  |    0.629104  |    0.933278  |     0.674080  |     73.60%  |  2.5s
    74  |    0.627236  |    0.882154  |     0.711028  |     74.96%  |  3.2s
    75  |    0.624417  |    0.955232  |     0.653681  |     73.01%  |  2.3s
    76  |    0.622288  |    0.972455  |     0.639914  |     72.72%  |  2.1s
    77  |    0.619285  |    0.882399  |     0.701819  |     74.97%  |  2.1s
    78  |    0.617360  |    0.877106  |     0.703860  |     75.00%  |  2.1s
    79  |    0.614939  |    0.861026  |     0.714193  |     75.59%  |  2.2s
    80  |    0.612641  |    0.844213  |     0.725694  |     75.93%  |  2.2s
    81  |    0.609867  |    0.859078  |     0.709909  |     75.48%  |  2.1s
    82  |    0.607929  |    0.848412  |     0.716549  |     75.96%  |  2.4s
    83  |    0.606197  |    0.861077  |     0.703999  |     75.61%  |  2.0s
    84  |    0.604549  |    0.826119  |     0.731794  |     76.65%  |  2.0s
    85  |    0.601671  |    0.829194  |     0.725610  |     76.34%  |  2.1s
    86  |    0.599557  |    0.826893  |     0.725072  |     76.36%  |  2.1s
    87  |    0.599220  |    0.854242  |     0.701463  |     75.63%  |  2.0s
    88  |    0.596113  |    0.877871  |     0.679043  |     75.24%  |  2.1s
    89  |    0.594362  |    0.861803  |     0.689674  |     75.59%  |  2.0s
    90  |    0.592151  |    0.844841  |     0.700902  |     76.16%  |  2.0s
    91  |    0.589894  |    0.849945  |     0.694038  |     75.88%  |  2.0s
    92  |    0.588721  |    0.823176  |     0.715182  |     76.67%  |  2.2s
    93  |    0.587141  |    0.841996  |     0.697320  |     75.99%  |  2.2s
    94  |    0.585115  |    0.790274  |     0.740395  |     77.56%  |  2.2s
    95  |    0.583137  |    0.853735  |     0.683042  |     75.82%  |  2.1s
    96  |    0.581976  |    0.810894  |     0.717696  |     77.03%  |  2.1s
    97  |    0.579749  |    0.811554  |     0.714369  |     77.11%  |  2.2s
    98  |    0.578316  |    0.913801  |     0.632869  |     74.45%  |  2.0s
    99  |    0.576116  |    0.791197  |     0.728158  |     77.64%  |  2.1s
   100  |    0.575573  |    0.778124  |     0.739692  |     78.10%  |  2.1s

   learn 0.5, 300 units
   [ddl@King-George csc2515h]$ python train.py
Loading training data from: ../data/train_32x32.mat
Loading training data done!
Greyscaling filter on the images...
Greyscaling filter done!
(73257, 1024)
(73257, 1)
[0 8 1 ..., 0 5 8]
  InputLayer        	(None, 1024)        	produces    1024 outputs
  DenseLayer        	(None, 300)         	produces     300 outputs
  DenseLayer        	(None, 10)          	produces      10 outputs

 Epoch  |  Train loss  |  Valid loss  |  Train / Val  |  Valid acc  |  Dur
--------|--------------|--------------|---------------|-------------|-------
     1  |    2.161976  |    2.044463  |     1.057479  |     27.49%  |  5.0s
     2  |    1.808743  |    1.858392  |     0.973284  |     37.92%  |  5.7s
     3  |    1.521494  |    1.695634  |     0.897301  |     46.23%  |  6.7s
     4  |    1.352930  |    1.414600  |     0.956404  |     55.98%  |  6.4s
     5  |    1.249223  |    1.369415  |     0.912231  |     57.49%  |  6.0s
     6  |    1.173040  |    1.345281  |     0.871967  |     58.44%  |  5.8s
     7  |    1.118872  |    1.279575  |     0.874409  |     60.88%  |  5.9s
     8  |    1.077839  |    1.313682  |     0.820472  |     60.74%  |  5.9s
     9  |    1.045356  |    1.297241  |     0.805830  |     61.22%  |  6.1s
    10  |    1.011839  |    1.330564  |     0.760459  |     61.16%  |  5.7s
    11  |    0.983467  |    1.249214  |     0.787268  |     62.89%  |  6.4s
    12  |    0.955980  |    1.232300  |     0.775769  |     63.68%  |  6.3s
    13  |    0.933941  |    1.234028  |     0.756824  |     63.88%  |  5.9s
    14  |    0.911307  |    1.238793  |     0.735641  |     64.28%  |  6.7s
    15  |    0.892942  |    1.258770  |     0.709377  |     64.02%  |  6.1s
    16  |    0.875801  |    1.235768  |     0.708710  |     64.53%  |  5.9s
    17  |    0.858395  |    1.205258  |     0.712208  |     65.30%  |  7.0s
    18  |    0.840176  |    1.201499  |     0.699273  |     64.86%  |  6.5s
    19  |    0.827494  |    1.231547  |     0.671914  |     64.56%  |  6.3s
    20  |    0.810611  |    1.180351  |     0.686754  |     65.45%  |  6.1s
    21  |    0.797237  |    1.215729  |     0.655768  |     64.97%  |  6.2s
    22  |    0.784938  |    1.234107  |     0.636038  |     64.54%  |  6.0s
    23  |    0.773874  |    1.179973  |     0.655841  |     66.29%  |  6.1s
    24  |    0.760172  |    1.228696  |     0.618682  |     65.12%  |  6.4s
    25  |    0.748464  |    1.179147  |     0.634750  |     66.40%  |  6.4s
    26  |    0.737511  |    1.252435  |     0.588862  |     65.12%  |  6.1s
    27  |    0.727549  |    1.214270  |     0.599165  |     65.95%  |  6.0s
    28  |    0.717374  |    1.167400  |     0.614506  |     67.14%  |  6.1s
    29  |    0.709592  |    1.091154  |     0.650313  |     69.03%  |  6.1s
    30  |    0.698976  |    1.103143  |     0.633623  |     68.66%  |  6.0s
    31  |    0.692477  |    1.054489  |     0.656694  |     69.94%  |  6.2s
    32  |    0.683943  |    1.036675  |     0.659746  |     70.57%  |  6.0s
    33  |    0.677696  |    1.070351  |     0.633153  |     69.47%  |  6.1s
    34  |    0.671465  |    1.046040  |     0.641912  |     70.35%  |  6.0s
    35  |    0.663572  |    1.003325  |     0.661373  |     72.01%  |  6.0s
    36  |    0.657109  |    1.071582  |     0.613213  |     70.02%  |  5.9s
    37  |    0.652704  |    0.982110  |     0.664593  |     72.32%  |  6.1s
    38  |    0.644371  |    1.023609  |     0.629508  |     71.27%  |  6.0s
    39  |    0.638855  |    1.070994  |     0.596506  |     69.99%  |  6.2s
    40  |    0.633459  |    1.030454  |     0.614738  |     70.95%  |  6.2s
    41  |    0.627290  |    0.963423  |     0.651105  |     72.52%  |  6.1s
    42  |    0.622887  |    0.959506  |     0.649175  |     72.89%  |  6.2s
    43  |    0.617772  |    0.933274  |     0.661941  |     73.30%  |  6.3s
    44  |    0.611061  |    1.028323  |     0.594231  |     71.22%  |  6.2s
    45  |    0.606079  |    0.928219  |     0.652947  |     73.66%  |  6.1s
    46  |    0.601326  |    0.988631  |     0.608241  |     72.12%  |  6.1s
    47  |    0.597013  |    0.991191  |     0.602319  |     72.11%  |  6.2s
    48  |    0.592629  |    0.926598  |     0.639576  |     73.64%  |  6.3s
    49  |    0.587728  |    0.966567  |     0.608057  |     72.80%  |  6.4s
    50  |    0.581371  |    0.936273  |     0.620942  |     73.56%  |  6.2s
    51  |    0.578393  |    0.964117  |     0.599920  |     72.84%  |  6.4s
    52  |    0.573685  |    0.928421  |     0.617915  |     73.76%  |  6.1s
    53  |    0.569299  |    0.937818  |     0.607046  |     73.68%  |  6.3s
    54  |    0.565119  |    0.899131  |     0.628517  |     74.49%  |  6.1s
    55  |    0.562096  |    0.892922  |     0.629502  |     74.76%  |  6.1s
    56  |    0.557206  |    0.929380  |     0.599546  |     73.83%  |  6.2s
    57  |    0.553928  |    0.956534  |     0.579099  |     73.13%  |  6.3s
    58  |    0.549430  |    0.914806  |     0.600597  |     74.32%  |  6.2s
    59  |    0.547745  |    0.871487  |     0.628518  |     75.40%  |  6.1s
    60  |    0.542742  |    0.902077  |     0.601659  |     74.57%  |  6.7s
    61  |    0.540753  |    0.847982  |     0.637695  |     76.06%  |  6.5s
    62  |    0.536106  |    0.832530  |     0.643948  |     77.05%  |  6.1s
    63  |    0.533608  |    0.876080  |     0.609086  |     75.85%  |  6.2s
    64  |    0.529564  |    0.848485  |     0.624129  |     76.14%  |  6.1s
    65  |    0.527733  |    0.853869  |     0.618049  |     76.01%  |  6.1s
    66  |    0.523257  |    0.809297  |     0.646558  |     77.30%  |  6.1s
    67  |    0.521411  |    0.823348  |     0.633281  |     76.70%  |  6.1s
    68  |    0.518242  |    0.830975  |     0.623655  |     76.76%  |  6.3s
    69  |    0.514710  |    0.894463  |     0.575440  |     75.04%  |  6.1s
    70  |    0.512821  |    0.974700  |     0.526132  |     73.11%  |  6.1s
    71  |    0.509701  |    0.882279  |     0.577709  |     75.38%  |  6.1s
    72  |    0.507758  |    0.847567  |     0.599077  |     76.28%  |  6.0s
    73  |    0.504640  |    0.840085  |     0.600702  |     76.65%  |  6.4s
    74  |    0.499650  |    0.876406  |     0.570112  |     75.74%  |  6.1s
    75  |    0.498238  |    0.833558  |     0.597725  |     76.86%  |  6.2s
    76  |    0.496472  |    0.803279  |     0.618056  |     77.74%  |  6.1s
    77  |    0.492926  |    0.866361  |     0.568961  |     76.02%  |  6.1s
    78  |    0.490711  |    0.809230  |     0.606392  |     77.71%  |  6.3s
    79  |    0.486724  |    0.833531  |     0.583930  |     77.49%  |  6.1s
    80  |    0.487502  |    0.818030  |     0.595947  |     77.42%  |  6.0s
    81  |    0.484278  |    0.820411  |     0.590288  |     77.34%  |  6.3s
    82  |    0.481294  |    0.817336  |     0.588857  |     77.42%  |  6.8s
    83  |    0.478875  |    0.802980  |     0.596372  |     77.81%  |  6.3s
    84  |    0.476320  |    0.805579  |     0.591276  |     77.77%  |  6.3s
    85  |    0.475082  |    0.819091  |     0.580012  |     77.29%  |  6.2s
    86  |    0.471823  |    0.834592  |     0.565334  |     77.06%  |  6.5s
    87  |    0.470571  |    0.763346  |     0.616458  |     79.04%  |  6.1s
    88  |    0.466478  |    0.797958  |     0.584590  |     78.09%  |  6.3s
    89  |    0.463801  |    0.771516  |     0.601155  |     79.03%  |  7.3s
    90  |    0.463443  |    0.764192  |     0.606448  |     79.02%  |  6.9s
    91  |    0.461154  |    0.840068  |     0.548949  |     77.86%  |  6.2s
    92  |    0.458235  |    0.748734  |     0.612014  |     79.45%  |  6.2s
    93  |    0.457228  |    0.795353  |     0.574874  |     78.56%  |  6.4s
    94  |    0.454509  |    0.844348  |     0.538296  |     76.88%  |  6.1s
    95  |    0.454250  |    0.761003  |     0.596909  |     79.21%  |  6.1s
    96  |    0.451824  |    0.765588  |     0.590166  |     79.62%  |  6.4s
    97  |    0.449990  |    0.755853  |     0.595341  |     79.40%  |  6.3s
    98  |    0.447752  |    0.757446  |     0.591134  |     79.30%  |  6.3s
    99  |    0.445143  |    0.748760  |     0.594507  |     79.55%  |  6.2s
   100  |    0.444856  |    0.756818  |     0.587798  |     79.43%  |  6.2s

   ubuntu@ip-10-0-0-236:~/csc2515h$ python train_conv.py
modprobe: ERROR: could not insert 'nvidia_346': Unknown symbol in module, or unknown parameter (see dmesg)
Loading training data from: data/train_32x32.mat
Loading training data done!
(73257, 3, 32, 32)
Greyscaling filter on the images...
Greyscaling filter done!
(73257, 1, 32, 32)
(73257, 1)
[0 8 1 ..., 0 5 8]
  InputLayer        	(None, 1, 32, 32)   	produces    1024 outputs
  Conv2DLayer       	(None, 8, 29, 29)   	produces    6728 outputs
  MaxPool2DLayer    	(None, 8, 15, 15)   	produces    1800 outputs
  DenseLayer        	(None, 300)         	produces     300 outputs
  DenseLayer        	(None, 10)          	produces      10 outputs

 Epoch  |  Train loss  |  Valid loss  |  Train / Val  |  Valid acc  |  Dur
--------|--------------|--------------|---------------|-------------|-------
     1  |    2.202231  |    2.050728  |     1.073878  |     28.09%  |  36.2s
     2  |    1.599053  |    1.147461  |     1.393558  |     66.70%  |  36.4s
     3  |    0.970637  |    0.886609  |     1.094774  |     73.26%  |  36.0s
     4  |    0.756504  |    0.780415  |     0.969361  |     76.59%  |  36.0s
     5  |    0.653210  |    0.710897  |     0.918853  |     78.90%  |  35.7s
     6  |    0.586439  |    0.646327  |     0.907341  |     81.14%  |  35.0s
     7  |    0.536849  |    0.609750  |     0.880442  |     82.45%  |  35.0s
     8  |    0.497411  |    0.578399  |     0.859979  |     83.23%  |  35.0s
     9  |    0.464229  |    0.549730  |     0.844466  |     84.27%  |  35.0s
    10  |    0.435584  |    0.532423  |     0.818116  |     84.93%  |  35.0s
    11  |    0.409810  |    0.517389  |     0.792073  |     85.45%  |  35.1s
    12  |    0.386591  |    0.510243  |     0.757661  |     85.71%  |  35.0s
    13  |    0.365597  |    0.500498  |     0.730466  |     86.07%  |  35.0s
    14  |    0.346326  |    0.497281  |     0.696438  |     86.30%  |  35.0s
    15  |    0.328579  |    0.494461  |     0.664519  |     86.34%  |  35.0s
    16  |    0.312075  |    0.494528  |     0.631057  |     86.45%  |  35.0s
    17  |    0.296407  |    0.491567  |     0.602984  |     86.55%  |  35.0s
    18  |    0.281731  |    0.492951  |     0.571520  |     86.52%  |  35.0s
    19  |    0.267884  |    0.494185  |     0.542072  |     86.68%  |  35.0s
    20  |    0.254583  |    0.494482  |     0.514848  |     86.81%  |  35.0s
    21  |    0.242093  |    0.498431  |     0.485710  |     86.78%  |  35.0s
    22  |    0.230097  |    0.502199  |     0.458179  |     86.92%  |  35.0s
    23  |    0.218663  |    0.508084  |     0.430369  |     86.89%  |  35.0s
    24  |    0.208031  |    0.517440  |     0.402039  |     86.71%  |  35.0s
    25  |    0.197815  |    0.519293  |     0.380931  |     86.78%  |  35.0s
    26  |    0.188158  |    0.525058  |     0.358356  |     86.69%  |  35.0s
    27  |    0.178894  |    0.531262  |     0.336734  |     86.70%  |  35.0s
